iter	Passed	Remaining
0	481	481138
1	497	248140
2	514	171043
3	530	132145
4	547	109035
5	583	96699
6	645	91532
7	736	91380
8	802	88409
9	884	87553
10	905	81373
11	926	76310
12	946	71831
13	963	67862
14	988	64942
15	1006	61923
16	1025	59284
17	1045	57060
18	1059	54685
19	1078	52845
20	1100	51305
21	1121	49850
22	1139	48420
23	1164	47345
24	1181	46086
25	1202	45043
26	1220	43997
27	1237	42947
28	1262	42276
29	1287	41614
30	1308	40894
31	1328	40190
32	1344	39407
33	1371	38956
34	1390	38341
35	1406	37675
36	1424	37067
37	1444	36572
38	1464	36082
39	1485	35650
40	1499	35079
41	1516	34594
42	1536	34206
43	1555	33806
44	1571	33351
45	1590	32976
46	1607	32600
47	1627	32272
48	1651	32046
49	1667	31681
50	1683	31320
51	1700	31009
52	1718	30703
53	1731	30335
54	1746	30015
55	1763	29731
56	1781	29474
57	1808	29371
58	1825	29114
59	1841	28857
60	1856	28575
61	1874	28356
62	1890	28116
63	1909	27925
64	1923	27662
65	1942	27489
66	1961	27313
67	1980	27138
68	1998	26962
69	2012	26731
70	2030	26565
71	2046	26383
72	2069	26277
73	2086	26109
74	2100	25902
75	2117	25749
76	2135	25597
77	2154	25465
78	2171	25314
79	2187	25160
80	2211	25092
81	2229	24954
82	2244	24800
83	2259	24641
84	2278	24527
85	2293	24376
86	2313	24276
87	2332	24176
88	2348	24037
89	2368	23949
90	2384	23814
91	2400	23693
92	2419	23593
93	2434	23459
94	2449	23334
95	2467	23233
96	2485	23135
97	2504	23047
98	2517	22910
99	2538	22850
100	2555	22747
101	2572	22646
102	2590	22561
103	2605	22443
104	2622	22351
105	2638	22251
106	2656	22172
107	2675	22093
108	2694	22025
109	2708	21918
110	2726	21832
111	2744	21756
112	2760	21668
113	2773	21556
114	2788	21462
115	2805	21383
116	2822	21304
117	2841	21238
118	2861	21186
119	2877	21102
120	2894	21027
121	2911	20953
122	2927	20875
123	2944	20799
124	2958	20712
125	2976	20644
126	2994	20581
127	3015	20540
128	3033	20481
129	3047	20395
130	3064	20330
131	3082	20268
132	3099	20204
133	3114	20126
134	3128	20046
135	3144	19979
136	3163	19930
137	3180	19866
138	3197	19806
139	3213	19741
140	3233	19701
141	3249	19636
142	3270	19600
